emotion,intensity,strength,entropy_before,entropy_after,improvement,success,distribution
anxiety,0.75,0.7,0.4225426686206676,1.6995246812924865,1.276982012671819,True,[0.2015 0.2065 0.52   0.072 ]
anxiety,0.75,0.8,0.4225426686206676,1.8788029307751746,1.4562602621545069,True,[0.217  0.235  0.4175 0.1305]
anxiety,0.75,0.9,0.4225426686206676,1.9614721626698988,1.5389294940492313,True,[0.241  0.245  0.3385 0.1755]
anxiety,0.85,0.7,0.4225426686206676,1.7065277273725439,1.2839850587518762,True,[0.202  0.194  0.5235 0.0805]
anxiety,0.85,0.8,0.4225426686206676,1.8720967136986602,1.4495540450779925,True,[0.231 0.218 0.423 0.128]
anxiety,0.85,0.9,0.4225426686206676,1.96884123856265,1.5462985699419822,True,[0.249  0.2445 0.3265 0.18  ]
anxiety,0.95,0.7,0.4225426686206676,1.6932668464947547,1.270724177874087,True,[0.2015 0.191  0.53   0.0775]
anxiety,0.95,0.8,0.4225426686206676,1.8616710971602926,1.4391284285396249,True,[0.232  0.224  0.4255 0.1185]
anxiety,0.95,0.9,0.4225426686206676,1.955270148869626,1.5327274802489583,True,[0.2305 0.247  0.3485 0.174 ]
anxiety,0.98,0.7,0.4225426686206676,1.7223902082990816,1.2998475396784142,True,[0.213  0.205  0.5065 0.0755]
anxiety,0.98,0.8,0.4225426686206676,1.859414485569541,1.4368718169488734,True,[0.235  0.2115 0.431  0.1225]
anxiety,0.98,0.9,0.4225426686206676,1.9501669347610364,1.5276242661403687,True,[0.2335 0.225  0.3615 0.18  ]
anger,0.75,0.7,0.4225426686206676,1.6888503267797583,1.2663076581590906,True,[0.1945 0.1865 0.082  0.537 ]
anger,0.75,0.8,0.4225426686206676,1.8661841438234286,1.443641475202761,True,[0.232 0.222 0.122 0.424]
anger,0.75,0.9,0.4225426686206676,1.966108842020891,1.5435661734002233,True,[0.251  0.2395 0.1785 0.331 ]
anger,0.85,0.7,0.4225426686206676,1.6821183974289295,1.259575728808262,True,[0.1945 0.195  0.075  0.5355]
anger,0.85,0.8,0.4225426686206676,1.8537580631255257,1.431215394504858,True,[0.2225 0.231  0.1155 0.431 ]
anger,0.85,0.9,0.4225426686206676,1.965938212041741,1.5433955434210733,True,[0.2415 0.2275 0.1905 0.3405]
anger,0.95,0.7,0.4225426686206676,1.6960178470061231,1.2734751783854557,True,[0.196  0.1935 0.08   0.5305]
anger,0.95,0.8,0.4225426686206676,1.8532849845549146,1.4307423159342472,True,[0.236  0.2255 0.1115 0.427 ]
anger,0.95,0.9,0.4225426686206676,1.967736186657746,1.5451935180370784,True,[0.243  0.2535 0.1775 0.326 ]
anger,0.98,0.7,0.4225426686206676,1.7269832149329334,1.3044405463122657,True,[0.2045 0.2055 0.081  0.509 ]
anger,0.98,0.8,0.4225426686206676,1.8508958058068457,1.428353137186178,True,[0.2185 0.228  0.1175 0.436 ]
anger,0.98,0.9,0.4225426686206676,1.9681019440277194,1.5455592754070517,True,[0.2395 0.2505 0.181  0.329 ]
fear,0.75,0.7,0.4225426686206676,1.6848298442151384,1.2622871755944707,True,[0.0705 0.529  0.204  0.1965]
fear,0.75,0.8,0.4225426686206676,1.8870990229957987,1.464556354375131,True,[0.131  0.4085 0.2375 0.223 ]
fear,0.75,0.9,0.4225426686206676,1.9607036757300709,1.5381610071094034,True,[0.177  0.3415 0.2415 0.24  ]
fear,0.85,0.7,0.4225426686206676,1.6930855216864211,1.2705428530657534,True,[0.079  0.5315 0.1895 0.2   ]
fear,0.85,0.8,0.4225426686206676,1.848378855267676,1.4258361866470084,True,[0.1085 0.429  0.235  0.2275]
fear,0.85,0.9,0.4225426686206676,1.9630084631917812,1.5404657945711135,True,[0.1795 0.339  0.2385 0.243 ]
fear,0.95,0.7,0.4225426686206676,1.706453017921426,1.2839103493007582,True,[0.076 0.519 0.196 0.209]
fear,0.95,0.8,0.4225426686206676,1.8656805066956421,1.4431378380749744,True,[0.1255 0.428  0.2225 0.224 ]
fear,0.95,0.9,0.4225426686206676,1.968508894090946,1.5459662254702784,True,[0.186  0.3325 0.247  0.2345]
fear,0.98,0.7,0.4225426686206676,1.6711565641136772,1.2486138954930097,True,[0.069 0.537 0.193 0.201]
fear,0.98,0.8,0.4225426686206676,1.8548420752227046,1.432299406602037,True,[0.12  0.433 0.209 0.238]
fear,0.98,0.9,0.4225426686206676,1.9585580034279173,1.5360153348072498,True,[0.173 0.342 0.245 0.24 ]
